"RelPath","LineageStatement","n_consumers","consumer_apps"
"ESS/CDP/Remote Employment Organisation Indigeneity.QVD","LOAD [Organisation Code], 
	[Organisation Name], 
	[Is Indigenous], 
	[Organisational Indigeneity], 
	[Organisational Indigeneity Evidence], 
	[First Nations Owned Proportion], 
	[First Nations Controlled Proportion], 
	[First Nations Employees Proportion], 
	[Not For Profit Evidence], 
	[Delivery Partners Comment];[Remote Employment Organisation Indigeneity]:
SELECT ""Organisation Code"",
	""Organisation Name"",
	""Is Indigenous"",
	""Organisational Indigeneity"",
	""Organisational Indigeneity Evidence"",
	""First Nations Owned Proportion"",
	""First Nations Controlled Proportion"",
	""First Nations Employees Proportion"",
	""Not For Profit Evidence"",
	""Delivery Partners Comment""
FROM ESS.""Remote Employment Organisation Indigeneity"" || [Remote Employment Organisation Indigeneity]:
SELECT ""Organisation Code"",
	""Organisation Name"",
	""Is Indigenous"",
	""Organisational Indigeneity"",
	""Organisational Indigeneity Evidence"",
	""First Nations Owned Proportion"",
	""First Nations Controlled Proportion"",
	""First Nations Employees Proportion"",
	""Not For Profit Evidence"",
	""Delivery Partners Comment""
FROM ESS.""Remote Employment Organisation Indigeneity""",13,"Remote Employment(10);Remote Employment(2)(1);Remote Employment(2);Remote Employment(9);Remote Employment(with caseload tracking)(1)"
"NACCHO/Member Name Locations.qvd","[Member Name Locations]:
LOAD [NACCHO Member Name], 
	Address, 
	[City/Suburb], 
	State, 
	Latitude, 
	Longitude, 
	[Address Url For Geocode Succeess Level], 
	[Mesh Block Code 2016], 
	[Mesh Block Code 2021];SELECT ""NACCHO Member Name"",
	Address,
	""City/Suburb"",
	State,
	Latitude,
	Longitude,
	""Address Url For Geocode Succeess Level"",
	""Mesh Block Code 2016"",
	""Mesh Block Code 2021""
FROM ""AZDB-ZEA-PRD-NIAADL01"".NACCHO.""Member Name Locations""",10,"Operational Dashboard 2.0(1);Test Investment MappingBackup20241203;Operational Dashboard 2.0 - PreProd;Operational Dashboard 2.0 V1.2.0;Operational Dashboard 2.0(4)"
"DataCatalogue/DLColumnDataTypes.QVD","[Data Type]:
    SELECT
    	CONCAT('AZDB-AUE-PRD-NIAADL01', '|', t.user_type_id) AS [User Type Key],
    	t.name                                    AS [Data Type]
	FROM ""AZDB-AUE-PRD-NIAADL01"".sys.types AS t WITH (NOLOCK)
	ORDER BY t.name",5,"NIAA Qlik Report Catalogue;NIAA Qlik Report Catalogue (with lineage)(backup before delete from UAT);NIAA Qlik Report Catalogue - Dave Work(1);UAT_App Metadata Tracking(2);NIAA Qlik Report Catalogue(3)"
"DataCatalogue/DLColumns.QVD","[Columns]:   
    SELECT
    // Keys
        CONCAT('AZDB-AUE-PRD-NIAADL01', '|', c.object_id)                        AS [Object Key],
        CONCAT('AZDB-AUE-PRD-NIAADL01', '|', c.column_id)                        AS [Column Key],
        CONCAT('AZDB-AUE-PRD-NIAADL01', '|', c.object_id, '|', c.column_id)      AS [Table Key Assoc Key],
        CONCAT('AZDB-AUE-PRD-NIAADL01', '|', c.user_type_id)                     AS [User Type Key],

    // Attributes
        c.name                                                        AS [Column Name],
        CASE WHEN c.is_nullable = 0 THEN 'N' ELSE 'Y' END             AS [Nullable],
        c.max_length                                                  AS [Column Max Length],
        c.precision                                                   AS [Column Precision],

    // Extended property (column description), nullable
    	CAST(ep.value AS NVARCHAR(4000))                              AS [Column Description]
	
	FROM ""AZDB-AUE-PRD-NIAADL01"".sys.all_columns AS c WITH (NOLOCK)
	LEFT JOIN ""AZDB-AUE-PRD-NIAADL01"".sys.extended_properties AS ep WITH (NOLOCK)
         ON ep.major_id = c.object_id
        AND ep.minor_id = c.column_id         // minor_id <> 0 means column-level EPs
        AND ep.name     = N'MS_Description'",5,"NIAA Qlik Report Catalogue;NIAA Qlik Report Catalogue (with lineage)(backup before delete from UAT);NIAA Qlik Report Catalogue - Dave Work(1);UAT_App Metadata Tracking(2);NIAA Qlik Report Catalogue(3)"
"DataCatalogue/DLSchemas.QVD","[Schemas]:      
     	 SELECT 
            CONCAT('AZDB-AUE-PRD-NIAADL01', '|', s.schema_id)    AS [Schema Key],
            s.name                                    AS [Schema Name]
        FROM ""AZDB-AUE-PRD-NIAADL01"".sys.schemas AS s WITH (NOLOCK)",5,"NIAA Qlik Report Catalogue;NIAA Qlik Report Catalogue (with lineage)(backup before delete from UAT);NIAA Qlik Report Catalogue - Dave Work(1);UAT_App Metadata Tracking(2);NIAA Qlik Report Catalogue(3)"
"NIAA/NIAA Site 2023.qvd","[NIAA Site 2023]:
LOAD NIAA_Site_Id as [Site Id], 
	Office_Name as [Office Name], 
	Region_Name as [Region Name], 
	Region as [Region Code], 
	State as [State], 
	Regional_Remote_Site as [Site Type], 
	Current_Office_Physical_Location as [Physical Address], 
	Office_Location_Notes as [Location Notes], 
	Office_Occupancy_Arrangement as [Occupancy Arrangement], 
	Office_Mailing_Address as [Mailing Address], 
	Comments as [Comments], 
	Latitude, 
	Longitude, 
    geomakepoint (Longitude, Latitude) as [NIAA Site Location],
	Aurion_Location_Code as [Aurion Location Code],
    Mesh_Block_Code_2021 as [Mesh Block Code 2021];SELECT ""NIAA_Site_Id"",
	""Office_Name"",
	""Region_Name"",
	Region,
	State,
	""Regional_Remote_Site"",
	""Current_Office_Physical_Location"",
	""Office_Location_Notes"",
	""Office_Occupancy_Arrangement"",
	""Office_Mailing_Address"",
	Comments,
	Latitude,
	Longitude,
	""Aurion_Location_Code"",
    ""Mesh_Block_Code_2021""
FROM ""AZDB-ZEA-PRD-NIAADL01"".NIAA.""NIAA Site 2023""",1,"training"
"ORIC/ORIC Corporations.qvd","[ORIC Corporations]:
LOAD _id as [ORIC ID], 
	ICN as [ICN], 
	Corporation as [ORIC Corporation], 
	[Incorporation Date] as [ORIC Incorporation Date], 
	Status as [ORIC Status], 
	[Status Date] as [ORIC Status Date], 
	Size as [ORIC Size], 
	ABN as [ABN], 
	State as [ORIC State], 
	[Post Code] as [ORIC Post Code], 
	Locality as [ORIC Locality], 
	Industry as [ORIC Industry], 
	[ACNC Registered?] as [ORIC ACNC Registered?], 
	[Numbe of Members] as [ORIC Number of Members], 
	[Numbe of Directors] as [ORIC Number of Directors], 
// 	[Number of Directors with the Title 'Mr'], 
// 	[Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms'], 
// 	[Number of Directors with no Sex-Identifying Title], 
	[Total Income 2019/20] as [ORIC Total Income 2019/20], 
	[Total Assets 2019/20] as [ORIC Total Assets 2019/20], 
	[Number of Employees 2019/20] as [ORIC Number of Employees 2019/20], 
	[Total Income 2020/21] as [ORIC Total Income 2020/21], 
	[Total Assets 2020/21] as [ORIC Total Assets 2020/21], 
	[Number of Employees 2020/21] as [ORIC Number of Employees 2020/21], 
	[Total Income 2021/22] as [ORIC Total Income 2021/22], 
	[Total Assets 2021/22] as [ORIC Total Assets 2021/22], 
	[Number of Employees 2021/22] as [ORIC Number of Employees 2021/22], 
	URL as [ORIC URL];SELECT ""_id"",
	ICN,
	Corporation,
	""Incorporation Date"",
	Status,
	""Status Date"",
	""Size"",
	ABN,
	State,
	""Post Code"",
	Locality,
	Industry,
	""ACNC Registered?"",
	""Numbe of Members"",
	""Numbe of Directors"",
	""Number of Directors with the Title 'Mr'"",
	""Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms'"",
	""Number of Directors with no Sex-Identifying Title"",
	""Total Income 2019/20"",
	""Total Assets 2019/20"",
	""Number of Employees 2019/20"",
	""Total Income 2020/21"",
	""Total Assets 2020/21"",
	""Number of Employees 2020/21"",
	""Total Income 2021/22"",
	""Total Assets 2021/22"",
	""Number of Employees 2021/22"",
	URL
FROM ""AZDB-ZEA-PRD-NIAADL01"".DGOV.""ORIC_AboriginalAndTorresStraitIslanderCorporations""",1,"ORIC data extract"
