"our_line","their_line","name","side"
588,540,"Grant Activity Milestone.Milestone Auto Release Indicator","ours-only"
588,540,"Grant Activity Milestone.Milestone Completed Indicator","ours-only"
588,540,"Grant Activity Milestone.Milestone Completion Date","ours-only"
588,540,"Grant Activity Milestone.Milestone Completion Description","ours-only"
588,540,"Grant Activity Milestone.Milestone Date Driven Indicator","ours-only"
588,540,"Grant Activity Milestone.Milestone Expected Due Date","ours-only"
588,540,"Grant Activity Milestone.Milestone Id","ours-only"
588,540,"Grant Activity Milestone.Milestone Long Description","ours-only"
588,540,"Grant Activity Milestone.Milestone Payment Mode","ours-only"
588,540,"Grant Activity Milestone.Milestone Received","ours-only"
588,540,"Grant Activity Milestone.Milestone Short Description","ours-only"
588,540,"Grant Activity Milestone.Milestone Status","ours-only"
588,540,"Grant Activity Milestone.Milestone Type","ours-only"
588,540,"IF($([vDaysoverdue]) <= 30, 1, 0)","ours-only"
588,540,"IF([Grant Activity Milestone.Milestone Completion Date] > TODAY() - 30 AND [Grant Activity Milestone.Milestone Expected Due Date] < TODAY(), 1, 0)","ours-only"
588,540,"IF([Grant Activity Milestone.Milestone Expected Due Date] < TODAY() + 180 AND [Grant Activity Milestone.Milestone Expected Due Date] > TODAY(), 1, 0)","ours-only"
588,540,"IF([Grant Activity Milestone.Milestone Expected Due Date] < TODAY() + 30 AND [Grant Activity Milestone.Milestone Expected Due Date] > TODAY(), 1, 0)","ours-only"
588,540,"IF([Grant Activity Milestone.Milestone Expected Due Date] < TODAY() + 60 AND [Grant Activity Milestone.Milestone Expected Due Date] > TODAY() + 30, 1, 0)","ours-only"
588,540,"IF([Grant Activity Milestone.Milestone Expected Due Date] <= TODAY(), IF([Grant Activity Milestone.Milestone Stage] = 'Future', 'Overdue - Not received', IF([Grant Activity Milestone.Milestone Stage] = 'Overdue', 'Overdue - Not received', IF([Grant Activity Milestone.Milestone Stage] = 'Received', 'Overdue - Received'))), IF([Grant Activity Milestone.Milestone Expected Due Date] > TODAY(), IF([Grant Activity Milestone.Milestone Stage] = 'Future', 'Future - Not received', IF([Grant Activity Milestone.Milestone Stage] = 'Overdue', 'Future - Not received', IF([Grant Activity Milestone.Milestone Stage] = 'Received', 'Future - Received')))) )","ours-only"
588,540,"IF([Grant Activity Milestone.Milestone Expected Due Date] > TODAY(), 'Overdue', [Grant Activity Milestone.Milestone Stage])","ours-only"
588,540,"IF([Grant Activity Milestone.Milestone Expected Due Date] > TODAY(), 0, 1)","ours-only"
588,540,"REPLACE(YEARNAME([Grant Activity Milestone.Milestone Expected Due Date], 0, 7), '-20', '-')","ours-only"
588,540,"$(vDaysoverdue)","theirs-only"
588,540,"(Floor(([Milestone Completion Date] - [Milestone Expected Due Date])/30) * 30)+30","theirs-only"
588,540,"Activity Id","theirs-only"
588,540,"Activity IMPACT PO Id","theirs-only"
588,540,"Activity PBS Program","theirs-only"
588,540,"Financial Year Name","theirs-only"
588,540,"IF( [Milestone Completion Date] > TODAY() - 30 AND [Milestone Expected Due Date] < TODAY(), 1, 0)","theirs-only"
588,540,"IF( [Milestone Expected Due Date] < TODAY() + 180 AND [Milestone Expected Due Date] > TODAY(), 1, 0)","theirs-only"
588,540,"IF( [Milestone Expected Due Date] < TODAY() + 30 AND [Milestone Expected Due Date] > TODAY(), 1, 0)","theirs-only"
588,540,"IF( [Milestone Expected Due Date] < TODAY() + 60 AND [Milestone Expected Due Date] > TODAY() + 30, 1, 0)","theirs-only"
588,540,"IF( [Milestone Expected Due Date] <= TODAY(), IF( [Milestone Stage] = 'Future', 'Overdue - Not received', IF( [Milestone Stage] = 'Overdue', 'Overdue - Not received', IF( [Milestone Stage] = 'Received', 'Overdue - Received'))), IF( [Milestone Expected Due Date] > TODAY(), IF( [Milestone Stage] = 'Future', 'Future - Not received', IF( [Milestone Stage] = 'Overdue', 'Future - Not received', IF( [Milestone Stage] = 'Received', 'Future - Received')))))","theirs-only"
588,540,"IF( [Milestone Expected Due Date] > TODAY(), 'Overdue', [Milestone Stage])","theirs-only"
588,540,"IF( [Milestone Expected Due Date] > TODAY(), 0, 1)","theirs-only"
588,540,"IF($(vDaysoverdue) <= 30, 1, 0)","theirs-only"
588,540,"Managing Office - Activity","theirs-only"
588,540,"Milestone Action Required","theirs-only"
588,540,"Milestone Actual Amount Ex GST","theirs-only"
588,540,"Milestone Auto Release Indicator","theirs-only"
588,540,"Milestone Completed Indicator","theirs-only"
588,540,"Milestone Completion Date","theirs-only"
588,540,"Milestone Completion Description","theirs-only"
588,540,"Milestone Date Driven Indicator","theirs-only"
588,540,"Milestone Expected Due Date","theirs-only"
588,540,"Milestone Id","theirs-only"
588,540,"Milestone Long Description","theirs-only"
588,540,"Milestone Payment Mode","theirs-only"
588,540,"Milestone Received","theirs-only"
588,540,"Milestone Short Description","theirs-only"
588,540,"Milestone Status","theirs-only"
588,540,"Milestone Type","theirs-only"
588,540,"REPLACE(YEARNAME([Milestone Expected Due Date],0,7), '-20','-')","theirs-only"
609,565,"DATE([Outstanding], 'dd/MM/yyyy')","ours-only"
609,565,"REPLACE(YEARNAME([Outstanding], 0, 7), '-20', '-')","ours-only"
609,565,"DATE(Outstanding, 'dd/MM/yyyy')","theirs-only"
609,565,"REPLACE(YEARNAME(Outstanding,0,7), '-20','-')","theirs-only"
